,VFID,strain,VF_Name,cate,pro_Name
VFG037176(gb|WP_001081735),VF0470,Acinetobacter baumannii ACICU,Phospholipase C,Exotoxin,plc1
VFG037177(gb|WP_000632986),VF0470,Acinetobacter baumannii ACICU,Phospholipase C,Exotoxin,plc2
VFG037203(gb|WP_000079188),VF0469,Acinetobacter baumannii ACICU,Phospholipase D,Exotoxin,plcD
VFG037218(gb|WP_000983821),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,basJ
VFG037232(gb|WP_001093095),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,basI
VFG037246(gb|WP_001032906),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,basH
VFG037260(gb|WP_001095752),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,barB
VFG037274(gb|WP_001281538),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,barA
VFG037288(gb|WP_000603876),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,basG
VFG037302(gb|WP_001018264),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,basF
VFG037316(gb|WP_000744381),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,entE
VFG037330(gb|WP_001177743),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,basD
VFG037344(gb|WP_000717759),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,basC
VFG037358(gb|WP_001073030),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,bauA
VFG037372(gb|WP_001104139),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,bauB
VFG037386(gb|WP_000582115),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,bauE
VFG037400(gb|WP_001223274),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,bauC
VFG037414(gb|WP_012391956),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,bauD
VFG037428(gb|WP_000939834),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,basB
VFG037442(gb|WP_000910253),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,basA
VFG037456(gb|WP_000160878),VF0467,Acinetobacter baumannii ACICU,Acinetobactin,Nutritional/Metabolic factor,bauF
VFG037470(gb|WP_001105554),VF0636,Acinetobacter baumannii ACICU,HemO cluster,Nutritional/Metabolic factor,ACICU_RS04565
VFG037482(gb|WP_004748062),VF0636,Acinetobacter baumannii ACICU,HemO cluster,Nutritional/Metabolic factor,ACICU_RS04570
VFG037490(gb|WP_001240499),VF0636,Acinetobacter baumannii ACICU,HemO cluster,Nutritional/Metabolic factor,ACICU_RS04575
VFG037497(gb|WP_085947929),VF0636,Acinetobacter baumannii ACICU,HemO cluster,Nutritional/Metabolic factor,ACICU_RS04580
VFG037505(gb|WP_002002089),VF0636,Acinetobacter baumannii ACICU,HemO cluster,Nutritional/Metabolic factor,ACICU_RS04585
VFG037513(gb|WP_085947930),VF0636,Acinetobacter baumannii ACICU,HemO cluster,Nutritional/Metabolic factor,ACICU_RS04590
VFG037521(gb|WP_000837764),VF0636,Acinetobacter baumannii ACICU,HemO cluster,Nutritional/Metabolic factor,ACICU_RS04595
VFG037529(gb|WP_002062720),VF0636,Acinetobacter baumannii ACICU,HemO cluster,Nutritional/Metabolic factor,hemO
VFG037537(gb|WP_000359621),VF0636,Acinetobacter baumannii ACICU,HemO cluster,Nutritional/Metabolic factor,ACICU_RS04605
VFG037547(gb|WP_000061137),VF0636,Acinetobacter baumannii ACICU,HemO cluster,Nutritional/Metabolic factor,ACICU_RS04610
VFG037560(gb|WP_000790104),VF0461,Acinetobacter baumannii ACICU,Csu fimbriae,Biofilm,csuA/B
VFG037573,VF0461,Acinetobacter baumannii ACICU,Csu fimbriae,Biofilm,VF0461
VFG037586(gb|WP_000876480),VF0461,Acinetobacter baumannii ACICU,Csu fimbriae,Biofilm,csuB
VFG037599(gb|WP_001988023),VF0461,Acinetobacter baumannii ACICU,Csu fimbriae,Biofilm,csuC
VFG037612(gb|WP_000603301),VF0461,Acinetobacter baumannii ACICU,Csu fimbriae,Biofilm,csuD
VFG037625(gb|WP_001022730),VF0461,Acinetobacter baumannii ACICU,Csu fimbriae,Biofilm,csuE
VFG037638(gb|WP_193759656),VF0462,Acinetobacter baumannii ACICU,Bap,Biofilm,bap
VFG037650,VF0472,Acinetobacter baumannii ACICU,PNAG,Biofilm,VF0472
VFG037664(gb|WP_001061322),VF0472,Acinetobacter baumannii ACICU,PNAG,Biofilm,pgaB
VFG037678(gb|WP_000866237),VF0472,Acinetobacter baumannii ACICU,PNAG,Biofilm,pgaC
VFG037692(gb|WP_000786639),VF0472,Acinetobacter baumannii ACICU,PNAG,Biofilm,pgaD
VFG037705(gb|WP_000010636),VF0504,Acinetobacter baumannii ACICU,AdeFGH efflux pump,Biofilm,adeF
VFG037720(gb|WP_001027056),VF0504,Acinetobacter baumannii ACICU,AdeFGH efflux pump,Biofilm,adeG
VFG037735(gb|WP_000633124),VF0504,Acinetobacter baumannii ACICU,AdeFGH efflux pump,Biofilm,adeH
VFG037747(gb|WP_001984639),VF0466,Acinetobacter baumannii ACICU,LPS,Immune modulation,lpxM
VFG037762(gb|WP_000078878),VF0466,Acinetobacter baumannii ACICU,LPS,Immune modulation,lpxL
VFG037777(gb|WP_000867091),VF0466,Acinetobacter baumannii ACICU,LPS,Immune modulation,lpsB
VFG037792(gb|WP_000064875),VF0466,Acinetobacter baumannii ACICU,LPS,Immune modulation,lpxA
VFG037807(gb|WP_000013434),VF0466,Acinetobacter baumannii ACICU,LPS,Immune modulation,lpxB
VFG037822(gb|WP_000240700),VF0466,Acinetobacter baumannii ACICU,LPS,Immune modulation,lpxC
VFG037837(gb|WP_000868104),VF0466,Acinetobacter baumannii ACICU,LPS,Immune modulation,lpxD
VFG037852(gb|WP_001075965),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,ACICU_RS00395
VFG037867(gb|WP_001165990),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,ACICU_RS00400
VFG037882(gb|WP_000872593),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,ACICU_RS00405
VFG037897(gb|WP_001165095),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,tviB
VFG037912(gb|WP_000939040),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,pseB
VFG037927(gb|WP_000470518),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,pseC
VFG037942(gb|WP_001175206),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,pseF
VFG037957(gb|WP_000666850),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,pseG
VFG037972(gb|WP_000886731),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,pseH
VFG037987(gb|WP_000037963),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,pseI
VFG038002(gb|WP_000172211),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,ACICU_RS00445
VFG038017(gb|WP_001010045),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,ACICU_RS00450
VFG038032,VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,VF0465
VFG038047(gb|WP_000994240),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,ACICU_RS00460
VFG038062(gb|WP_000515955),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,ACICU_RS00465
VFG038077,VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,VF0465
VFG038091(gb|WP_000826956),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,ACICU_RS00475
VFG038105(gb|WP_000591436),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,galU
VFG038119(gb|WP_000686134),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,ACICU_RS00485
VFG038132(gb|WP_000045495),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,pgi
VFG038144(gb|WP_001062908),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,galE
VFG038155(gb|WP_000209960),VF0465,Acinetobacter baumannii ACICU,Capsule,Immune modulation,ACICU_RS00500
VFG038176(gb|WP_000777882),VF0464,Acinetobacter baumannii ACICU,OmpA,Immune modulation,ompA
VFG038191(gb|WP_002023245),VF0471,Acinetobacter baumannii ACICU,Quorom sensing,Biofilm,abaI
VFG038205(gb|WP_000446779),VF0471,Acinetobacter baumannii ACICU,Quorom sensing,Biofilm,abaR
VFG038249(gb|WP_003384760),VF0468,Acinetobacter baumannii ACICU,PbpG,Immune modulation,pbpG
VFG050303(gb|WP_001045628.1),VF1333,Acinetobacter baumannii ACICU,Ata,Adherence,ata
VFG050313(gb|WP_004644147.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilM
VFG050328(gb|WP_000201227.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilN
VFG050342(gb|WP_000076098.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilO
VFG050357(gb|WP_000695065.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilP
VFG050372(gb|WP_001017033.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilQ
VFG050386(gb|WP_000355489.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilT
VFG050400(gb|WP_000347039.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilU
VFG050414(gb|WP_002027454.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilF
VFG050428(gb|WP_000128073.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,fimV
VFG050443(gb|WP_000993715.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilA
VFG050457(gb|WP_001274990.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilB
VFG050470(gb|WP_000279216.1),VF1334,Acinetobacter baumannii ACICU,TFP,Adherence,pilC
